orderid,customerid,marketplaceid,orderno,unitsperorder,nooflineitems,date,ordertotal,shippingcost,carrier,shipmentweight
1,901,1,QQs-10000,4,1,3/22/2023,346.86,119.76,Stamps.com,212
2,2136,1,QQs-10001,3,3,3/22/2023,105.17,8.3,Stamps.com,62
3,1927,1,QQs-10002,1,1,3/22/2023,21.89,6.44,Stamps.com,15
4,2976,1,QQs-10003,1,1,3/22/2023,69.39,10.45,FedEx,41
5,1485,1,QQs-10004,2,2,3/22/2023,82.09,7.88,UPS by ShipStation,89
6,411,1,QQs-10006,7,4,3/22/2023,86.73,10.45,FedEx,68
7,143,1,QQs-10007,5,1,3/22/2023,168,8.56,UPS by ShipStation,125
8,2977,1,QQs-10008,12,3,3/22/2023,239.88,10.45,FedEx,152
9,2256,1,QQs-10009,2,2,3/22/2023,36.68,7.6,Stamps.com,23
10,1125,1,QQs-10010,2,1,3/22/2023,167.87,8.49,UPS by ShipStation,102
11,393,1,QQs-10011,6,2,3/22/2023,92.95,14.75,Stamps.com,77
12,1162,1,QQs-10012,3,3,3/22/2023,61.65,7.58,UPS by ShipStation,51
13,409,1,QQs-10013,3,2,3/23/2023,115.38,19.9,Stamps.com,115
14,1927,1,QQs-10014,1,1,3/23/2023,21.89,6.44,Stamps.com,15
15,2978,1,QQs-10015,2,2,3/23/2023,34.08,7.52,UPS by ShipStation,28
16,2979,1,QQs-10016,2,2,3/23/2023,19.59,8.3,Stamps.com,22
17,2957,1,QQs-10017,10,10,3/23/2023,106.51,14.75,Stamps.com,66
18,2869,1,QQs-10018,3,1,3/24/2023,66.57,8.3,Stamps.com,60
19,436,1,QQs-10019,3,3,3/24/2023,100.88,9.58,UPS by ShipStation,128
20,3,1,QQs-1002,7,2,6/18/2020,91.43,7.62,FedEx,50
21,1410,1,QQs-10020,18,3,3/24/2023,426.58,20.74,UPS by ShipStation,417
22,1561,1,QQs-10021,18,5,3/24/2023,359.98,13.11,UPS by ShipStation,275
23,2430,1,QQs-10022,6,6,3/24/2023,51.45,8.3,Stamps.com,26
24,2656,1,QQs-10024,1,1,3/25/2023,41.58,8.3,Stamps.com,42
25,2610,1,QQs-10025,65,6,3/25/2023,1208.35,37.36,FedEx,864
26,1533,1,QQs-10026,1,1,3/25/2023,23.69,6.07,Stamps.com,15
27,2729,1,QQs-10028,4,1,3/26/2023,264.8,10.68,FedEx,208
28,2555,1,QQs-10029,1,1,3/26/2023,25.69,7.53,Stamps.com,24
29,2,1,QQs-1003,3,2,6/18/2020,33.57,5.12,Stamps.com,15
30,2980,1,QQs-10030,2,2,3/26/2023,10.79,6.44,Stamps.com,15.9
31,434,1,QQs-10031,1,1,3/26/2023,18.19,5.33,Stamps.com,12
32,2732,1,QQs-10032,2,2,3/26/2023,243.28,12.24,UPS by ShipStation,176
33,2357,1,QQs-10033,2,2,3/26/2023,65.89,10.45,FedEx,36
34,865,1,QQs-10034,2,1,3/26/2023,140.38,11.81,UPS by ShipStation,170
35,2981,1,QQs-10036,1,1,3/27/2023,24.79,7.6,Stamps.com,23
36,2982,1,QQs-10037,3,3,3/27/2023,49.08,9.2,FedEx,28
37,2268,1,QQs-10038,1,1,3/27/2023,62.59,10.45,FedEx,48
38,869,1,QQs-10039,1,1,3/27/2023,94.29,42.9,FedEx,48
39,1,1,QQs-1004,2,1,6/18/2020,31.98,7.62,FedEx,24
40,2224,1,QQs-10040,10,8,3/27/2023,252.5,20.95,FedEx,144
41,2348,1,QQs-10041,7,2,3/27/2023,475.6,11.64,FedEx,592
42,2210,1,QQs-10042,3,2,3/27/2023,84.56,7.59,Stamps.com,68
43,1065,1,QQs-10043,5,2,3/27/2023,213.96,15.57,UPS by ShipStation,204
44,1271,1,QQs-10044,5,5,3/27/2023,71.05,10.45,FedEx,44
45,1051,1,QQs-10045,3,3,3/27/2023,116.28,13.83,UPS by ShipStation,112
46,2348,1,QQs-10046,6,1,3/28/2023,446.43,11.64,FedEx,592
47,2983,1,QQs-10047,1,1,3/28/2023,9.79,4.15,Stamps.com,7
48,1573,1,QQs-10048,2,1,3/28/2023,49.18,7.66,UPS by ShipStation,40
49,2512,1,QQs-10049,1,1,3/28/2023,55.59,7.6,Stamps.com,28
50,4,1,QQs-1005,4,4,6/18/2020,81.06,7.65,FedEx,70
51,300,1,QQs-10050,3,2,3/28/2023,860.18,53.22,FedEx,864
