date,cpc
1/1/2022,12.43
1/2/2022,12.49
1/3/2022,11.65
1/4/2022,11.85
1/5/2022,10.01
1/6/2022,9.54
1/7/2022,9.79
1/8/2022,9.64
1/9/2022,9.58
1/10/2022,9.08
1/11/2022,8.62
1/12/2022,10.16
1/13/2022,9.37
1/14/2022,11.69
1/15/2022,13.00
1/16/2022,11.46
1/17/2022,11.69
1/18/2022,9.59
1/19/2022,8.10
1/20/2022,8.67
1/21/2022,9.62
1/22/2022,9.83
1/23/2022,11.97
1/24/2022,11.33
1/25/2022,10.03
1/26/2022,9.79
1/27/2022,9.07
1/28/2022,7.13
1/29/2022,8.37
1/30/2022,9.20
1/31/2022,8.56
2/1/2022,9.59
2/2/2022,8.97
2/3/2022,8.60
2/4/2022,9.54
2/5/2022,8.61
2/6/2022,10.79
2/7/2022,9.80
2/8/2022,9.63
2/9/2022,8.20
2/10/2022,9.67
2/11/2022,8.71
2/12/2022,10.09
2/13/2022,10.35
2/14/2022,8.34
2/15/2022,8.94
2/16/2022,6.98
2/17/2022,7.15
2/18/2022,9.26
2/19/2022,10.87
2/20/2022,8.32
2/21/2022,7.24
2/22/2022,7.96
2/23/2022,7.14
2/24/2022,8.32
2/25/2022,8.51
2/26/2022,11.11
2/27/2022,6.37
2/28/2022,4.43
3/1/2022,7.44
3/2/2022,6.60
3/3/2022,6.98
3/4/2022,6.39
3/5/2022,8.42
3/6/2022,8.76
3/7/2022,7.61
3/8/2022,7.66
3/9/2022,7.70
3/10/2022,18.44
3/11/2022,25.34
3/12/2022,24.81
3/13/2022,24.16
3/14/2022,24.64
3/15/2022,31.11
3/16/2022,30.59
3/17/2022,28.29
3/18/2022,24.97
3/19/2022,22.59
3/20/2022,23.57
3/21/2022,24.23
3/22/2022,22.61
3/23/2022,21.04
3/24/2022,19.37
3/25/2022,20.40
3/26/2022,19.89
3/27/2022,22.41
3/28/2022,18.89
3/29/2022,18.08
3/30/2022,17.25
3/31/2022,12.98
4/1/2022,19.38
4/2/2022,17.76
4/3/2022,16.38
4/4/2022,15.03
4/5/2022,15.89
4/6/2022,15.13
4/7/2022,14.91
4/8/2022,13.45
