date,cpc,impressions
1/1/2022,12.43,2038
1/2/2022,12.49,1842
1/3/2022,11.65,1005
1/4/2022,11.85,570
1/5/2022,10.01,738
1/6/2022,9.54,556
1/7/2022,9.79,933
1/8/2022,9.64,708
1/9/2022,9.58,573
1/10/2022,9.08,1194
1/11/2022,8.62,952
1/12/2022,10.16,1012
1/13/2022,9.37,794
1/14/2022,11.69,2510
1/15/2022,13.00,2047
1/16/2022,11.46,1881
1/17/2022,11.69,2512
1/18/2022,9.59,2496
1/19/2022,8.10,2286
1/20/2022,8.67,2422
1/21/2022,9.62,2104
1/22/2022,9.83,1388
1/23/2022,11.97,1310
1/24/2022,11.33,2058
1/25/2022,10.03,1614
1/26/2022,9.79,704
1/27/2022,9.07,1374
1/28/2022,7.13,1482
1/29/2022,8.37,951
1/30/2022,9.20,732
1/31/2022,8.56,722
2/1/2022,9.59,1390
2/2/2022,8.97,1345
2/3/2022,8.60,1295
2/4/2022,9.54,1147
2/5/2022,8.61,960
2/6/2022,10.79,663
2/7/2022,9.80,1859
2/8/2022,9.63,1729
2/9/2022,8.20,2049
2/10/2022,9.67,2065
2/11/2022,8.71,1521
2/12/2022,10.09,917
2/13/2022,10.35,898
2/14/2022,8.34,1667
2/15/2022,8.94,1720
2/16/2022,6.98,1420
2/17/2022,7.15,1039
2/18/2022,9.26,541
2/19/2022,10.87,508
2/20/2022,8.32,553
2/21/2022,7.24,738
2/22/2022,7.96,608
2/23/2022,7.14,1127
2/24/2022,8.32,1113
2/25/2022,8.51,489
2/26/2022,11.11,350
2/27/2022,6.37,596
2/28/2022,4.43,212
3/1/2022,7.44,256
3/2/2022,6.60,87
3/3/2022,6.98,134
3/4/2022,6.39,494
3/5/2022,8.42,212
3/6/2022,8.76,139
3/7/2022,7.61,985
3/8/2022,7.66,1322
3/9/2022,7.70,1833
3/10/2022,18.44,2487
3/11/2022,25.34,3895
3/12/2022,24.81,3235
3/13/2022,24.16,2602
3/14/2022,24.64,7769
3/15/2022,31.11,6834
3/16/2022,30.59,5165
3/17/2022,28.29,6044
3/18/2022,24.97,6238
3/19/2022,22.59,4570
3/20/2022,23.57,3917
3/21/2022,24.23,8546
3/22/2022,22.61,7723
3/23/2022,21.04,4688
3/24/2022,19.37,4147
3/25/2022,20.40,4562
3/26/2022,19.89,2803
3/27/2022,22.41,2478
3/28/2022,18.89,3792
3/29/2022,18.08,3926
3/30/2022,17.25,2886
3/31/2022,12.98,2090
4/1/2022,19.38,4430
4/2/2022,17.76,2414
4/3/2022,16.38,2485
4/4/2022,15.03,4450
4/5/2022,15.89,3968
4/6/2022,15.13,4250
4/7/2022,14.91,4446
4/8/2022,13.45,4485
4/9/2022,13.81,2618
4/10/2022,14.77,2201
4/11/2022,14.20,4440
4/12/2022,15.19,4648
4/13/2022,13.94,7666
4/14/2022,13.92,5119
4/15/2022,12.88,6120
4/16/2022,12.12,3683
4/17/2022,11.67,2690
4/18/2022,12.16,6807
4/19/2022,11.04,7251
4/20/2022,11.05,6667
4/21/2022,11.86,6034
4/22/2022,11.36,5701
4/23/2022,10.34,4137
4/24/2022,11.70,4393
4/25/2022,12.12,6636
4/26/2022,11.56,6333
4/27/2022,13.22,5993
4/28/2022,11.28,5672
4/29/2022,9.88,5274
4/30/2022,11.22,3938
5/1/2022,10.54,3876
5/2/2022,11.64,6410
5/3/2022,10.98,3283
5/4/2022,9.98,3687
5/5/2022,9.99,3690
5/6/2022,9.93,3989
5/7/2022,9.89,2810
5/8/2022,9.14,2672
5/9/2022,9.31,4919
5/10/2022,9.18,4736
5/11/2022,8.56,4301
5/12/2022,8.49,4799
5/13/2022,9.30,4171
5/14/2022,8.70,2593
5/15/2022,8.68,2848
5/16/2022,9.31,4556
5/17/2022,9.56,4503
5/18/2022,8.64,4195
5/19/2022,7.82,3701
5/20/2022,8.69,3817
5/21/2022,9.28,2753
5/22/2022,9.75,2630
5/23/2022,9.46,4449
5/24/2022,10.15,3991
5/25/2022,12.46,4127
5/26/2022,12.69,4216
5/27/2022,12.91,3817
5/28/2022,11.96,2420
5/29/2022,13.70,2101
5/30/2022,12.29,2902
5/31/2022,13.68,6159
6/1/2022,12.83,3674
6/2/2022,12.40,3324
6/3/2022,12.69,3024
6/4/2022,15.64,2053
6/5/2022,15.53,2538
6/6/2022,12.92,2788
6/7/2022,13.18,1415
6/8/2022,14.51,1367
6/9/2022,15.74,1535
6/10/2022,13.37,967
6/11/2022,15.80,873
6/12/2022,14.56,896
6/13/2022,12.97,958
6/14/2022,13.34,1126
6/15/2022,12.88,1111
